price_date,brand,category,description,currency,page,0km,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
08/01/2026,CASE,Tractores Maxxum,165 - 168cv 6.8L 18x6 Semipowershift C/3 P. Dual,u$s,8,,,,,,,,,75000.0,72000.0,69000.0,66000.0,63000.0,60000.0,57000.0,
08/01/2026,CASE,Tractores Maxxum,180 - 180cv 6.8L 18x6 Semipowershift,u$s,8,,,,,,,,,80000.0,77000.0,74000.0,71000.0,68000.0,65000.0,62000.0,
08/01/2026,CASE,Tractores Maxxum,180 - 180cv 6.8L 18x6 Semipowershift Dual,u$s,8,,,,,,,,,81000.0,78000.0,75000.0,72000.0,69000.0,66000.0,63000.0,
08/01/2026,CASE,Tractores Maxxum,180 - 180cv 6.8L 18x6 Semipowershift C/3 P.,u$s,8,,,,,,,,,82000.0,79000.0,76000.0,73000.0,70000.0,67000.0,64000.0,
08/01/2026,CASE,Tractores Maxxum,180 - 180cv 6.8L 18x6 Semipowershift C/3 P. Dual,u$s,8,,,,,,,,,83000.0,80000.0,77000.0,74000.0,71000.0,68000.0,65000.0,
08/01/2026,CASE,Tractores Puma,140 - Motor CASE 144CV 6 cil. 6.7hs. 4x4 CABINADO,u$s,8,113000.0,108500.0,104100.0,100000.0,96000.0,92100.0,88500.0,,,,,,,,,
08/01/2026,CASE,Tractores Puma,140 - Motor CASE 144CV 6 cil. 6.7hs. 4x4 CABINADO DUAL,u$s,8,116400.0,111700.0,107300.0,103000.0,98900.0,94900.0,91100.0,,,,,,,,,
08/01/2026,CASE,Tractores Puma,155 - Motor CASE 157CV 6 cil. 6.8 lts. 4x4 CABINADO,u$s,8,122900.0,118000.0,113300.0,108700.0,104400.0,100200.0,96200.0,,,,,,,,,
08/01/2026,CASE,Tractores Puma,155 - Motor CASE 157CV 6 cil. 6.8 lts. 4x4 CABINADO dual,u$s,8,126300.0,121200.0,116400.0,111700.0,107300.0,103000.0,98900.0,,,,,,,,,
08/01/2026,CASE,Tractores Puma,155 - Motor CASE 157CV 6 cil. 6.8 lts. 4x4 CABINADO 3P.,u$s,9,126800.0,121700.0,116900.0,112200.0,107700.0,103400.0,99300.0,,,,,,,,,
08/01/2026,CASE,Tractores Puma,155 - Motor CASE 157CV 6 cil. 6.8 lts. 4x4 CABINADO dual 3P.,u$s,9,130200.0,125000.0,120000.0,115200.0,110600.0,106200.0,101900.0,,,,,,,,,
